species,order,oCode,set,Stock,phyl,repr,code,Sex,Linf,L0,W0,EggDWg,K,t0,Lm,M,Temp,cycle,litter,aW,bW,s_W,s_Linf,s_L0,s_K,s_t0,s_Lm,s_M,source_GSI,source_F,source_eggD,source_cycle,source_litter
Clupea harengus ,Clupeiformes,3,f,Downs ,t,o,5,c,29.21,,0.001745,0.000349,0.48,-0.78,24.5,,10.6,1,24900,0.006332968,3.1,Jennings beverton 1991,Jennings beverton 1991,Jennings beverton 1991(ww 5dw),,,,,,,,,
Clupea harengus ,Clupeiformes,3,f,S. Gulf of St. Lawrence (s.sp) ,t,o,5,c,35.2,,0.00061,0.000122,0.28,-1.87,30,,8,1,59700,0.00255,3.328,Jennings beverton 1991,Jennings beverton 1991,Jennings beverton 1991(ww 5dw),,,,,,,,,
Clupea harengus ,Clupeiformes,3,f,N. Irish Sea ,t,o,5,c,29.55,,0.00117,0.000234,0.35,-1.63,23.7,,10.3,1,31500,0.006140134,3.13,Jennings beverton 1991,Jennings beverton 1991,Jennings beverton 1991(ww 5dw),,,,,,,,,
Clupea harengus ,Clupeiformes,3,f,Norway (s.sp) ,t,o,5,c,36.96,,0.001625,0.000325,0.26,-2.21,31.2,,8.2,1,40700,0.014999538,2.81,Jennings beverton 1991,Jennings beverton 1991,Jennings beverton 1991(ww 5dw),,,,,,,,,
Clupea harengus ,Clupeiformes,3,f,SW Nova Scotia ,t,o,5,c,34.1,,0.0006275,0.0001255,0.33,,31,,6,1,92100,0.00255,3.328,Jennings beverton 1991,Erzini1994,Messieh1976(ww 5dw),,,,,,,,,
Gadus morhua,Gadiformes,4,f,Iceland,t,o,5,f,128,,0.00043,0.000086,0.2,0.28,82.4,,7,1,2418000,0.007,3.087,Bedford1986,Schopka1973,Schopka1973(ww 5dw),,,,,,,,,
Gadus morhua,Gadiformes,4,f,North Sea ,t,o,5,f,123.1,,0.000545,0.000109,0.23,,69.7,,8,1,1642500,0.007,3.087,Bedford1986,Jennings1998,Hislop &Bell 1986(ww 5dw),,,,,,,,,
Melanogrammus aeglefinus,Gadiformes,4,f,N. North Sea ,t,o,5,f,68.3,,0.000605,0.000121,0.19,,31.5,,8,1,120200,0.00618,3.115,Bedford1986,Jennings1998,Hislop &Bell 1986(ww 5dw),,,,,,,,,
Melanogrammus aeglefinus,Gadiformes,4,f,SW Scotian Shelf ,t,o,5,f,75.8,,0.0004,0.00008,0.33,,43,,6,1,278700,0.00964791,2.98,Kohler 1959,Erzini1994,Hislop 1988(ww 5dw),,,,,,,,,
Merlangius merlangus ,Gadiformes,4,f,North Sea ,t,o,5,f,42.4,,0.000295,0.000059,0.32,,20.2,,8,1,107700,0.00556,3.104,Bedford1986,Jennings1998,Hislop&Bell1986(ww 5dw),,,,,,,,,
Pleuronectes ferruginae,Pleuronectiformes,5,f,Grand Bank,t,o,5,c,48.12,,0.0001345,0.0000269,0.29,0.8,35.4,,5,1,737200,0.002333458,3.233,Lux1969,Pitt 1974,manning 1998(ww 5dw),,,,,,,,,
Pleuronectes ferruginae,Pleuronectiformes,5,f,S. New England,t,o,5,c,50,,0.0001345,0.0000269,0.34,-0.26,30.4,,5,1,787800,0.002333458,3.233,Lux1969,Pitt 1974,manning 1998(ww 5dw),,,,,,,,,
Pleuronectes platessa  ,Pleuronectiformes,5,f,Celtic Sea ,t,o,5,f,59.4,,0.00159,0.000318,0.11,,28.8,,10,1,59600,0.0089,3.053,Bedford1986,Jennings1998,Hislop&Bell1986(ww 5dw),,,,,,,,,
