class	subclass	superorder	order	family	species	Maximum_weight_(kg)	interbirth_interval_(years)	maximum_litter_size_(daughters_per_year)	age_at_maturity_(years)	annual_mortality	rmax										
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_keta	15.9	NA	3580	4	NA	0.51
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_keta	15.9	NA	3580	4	NA	0.32
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_keta	15.9	NA	3580	4	NA	0.17
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_keta	15.9	NA	3580	4	NA	0.17
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_keta	15.9	NA	3580	4	NA	0.57
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_keta	15.9	NA	3580	4	NA	0.32
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_keta	15.9	NA	3580	4	NA	0.24
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_nerka	7.71	NA	3643	4.5	NA	0.44
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_nerka	7.71	NA	3643	4.5	NA	0.55
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_nerka	7.71	NA	3643	4.5	NA	0.23
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_nerka	7.71	NA	3643	4.5	NA	0.22
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_nerka	7.71	NA	3643	4.5	NA	0.19
Actinopterygii	Euteleostei	Protacanthopterygii	Salmoniformes	Salmonidae	Oncorhynchus_nerka	7.71	NA	3643	4.5	NA	0.4
